StudentID,Name,Age,Email,Major,GPA
1,name5 surname5,36,name0.surname0@student.com,Chemistry,1
2,name6 surname6,23,name2.surname2@student.com,Chemistry,0
3,name1 surname1,21,name9.surname9@student.com,International Relations,2
4,name1 surname1,57,name6.surname6@student.com,Art History,2
5,name0 surname0,38,name5.surname5@student.com,Electrical Engineering,3
6,name7 surname7,46,name1.surname1@student.com,Business Administration,2
7,name5 surname5,27,name9.surname9@student.com,Philosophy,3
8,name1 surname1,48,name8.surname8@student.com,Art History,0
9,name9 surname9,27,name3.surname3@student.com,Computer Engineering,0
10,name9 surname9,26,name9.surname9@student.com,Biology,2
