StudentID,Name,Age,Email,Major,GPA
1,name0 surname0,43,name5.surname5@student.com,Electrical Engineering,1
2,name5 surname5,25,name3.surname3@student.com,English Literature,2
3,name4 surname4,25,name6.surname6@student.com,Biology,2
4,name6 surname6,30,name9.surname9@student.com,Business Administration,2
5,name0 surname0,39,name1.surname1@student.com,Business Administration,0
6,name2 surname2,56,name4.surname4@student.com,Philosophy,0
7,name4 surname4,46,name1.surname1@student.com,Computer Engineering,2
8,name6 surname6,50,name6.surname6@student.com,Physics,3
9,name8 surname8,49,name0.surname0@student.com,International Relations,3
10,name6 surname6,40,name1.surname1@student.com,International Relations,1
11,name8 surname8,20,name5.surname5@student.com,Philosophy,0
12,name8 surname8,25,name4.surname4@student.com,Art History,1
13,name6 surname6,55,name9.surname9@student.com,Philosophy,3
14,name5 surname5,28,name3.surname3@student.com,Chemistry,2
15,name6 surname6,30,name4.surname4@student.com,Electrical Engineering,3
16,name9 surname9,37,name9.surname9@student.com,International Relations,2
17,name0 surname0,29,name2.surname2@student.com,International Relations,3
18,name6 surname6,46,name7.surname7@student.com,Chemistry,0
19,name1 surname1,29,name1.surname1@student.com,Chemistry,1
20,name3 surname3,55,name6.surname6@student.com,Biology,3
21,name3 surname3,44,name9.surname9@student.com,Biology,0
22,name6 surname6,55,name9.surname9@student.com,Biology,1
23,name1 surname1,48,name7.surname7@student.com,Physics,0
24,name3 surname3,37,name2.surname2@student.com,Art History,1
25,name1 surname1,27,name1.surname1@student.com,Biology,0
26,name7 surname7,31,name6.surname6@student.com,Art History,2
27,name2 surname2,40,name0.surname0@student.com,Philosophy,2
28,name1 surname1,58,name0.surname0@student.com,Computer Engineering,1
29,name4 surname4,58,name8.surname8@student.com,English Literature,2
30,name2 surname2,41,name2.surname2@student.com,Physics,3
31,name7 surname7,54,name7.surname7@student.com,Electrical Engineering,1
32,name1 surname1,53,name8.surname8@student.com,Chemistry,2
33,name9 surname9,39,name7.surname7@student.com,International Relations,2
34,name3 surname3,22,name6.surname6@student.com,Chemistry,1
35,name8 surname8,36,name0.surname0@student.com,Art History,1
36,name7 surname7,43,name7.surname7@student.com,Philosophy,2
37,name7 surname7,45,name2.surname2@student.com,Business Administration,2
