StudentID,Name,Age,Email,Major,GPA
1,name5 surname5,38,name1.surname1@student.com,English Literature,3
2,name9 surname9,21,name1.surname1@student.com,English Literature,2
3,name3 surname3,36,name0.surname0@student.com,International Relations,0
4,name2 surname2,30,name0.surname0@student.com,International Relations,3
5,name1 surname1,31,name0.surname0@student.com,Chemistry,2
6,name6 surname6,54,name9.surname9@student.com,English Literature,2
7,name7 surname7,57,name4.surname4@student.com,Biology,1
8,name7 surname7,21,name6.surname6@student.com,Electrical Engineering,2
9,name8 surname8,29,name9.surname9@student.com,Art History,1
10,name4 surname4,47,name5.surname5@student.com,Chemistry,0
11,name5 surname5,44,name0.surname0@student.com,Art History,1
12,name6 surname6,53,name2.surname2@student.com,Computer Engineering,0
13,name0 surname0,54,name1.surname1@student.com,English Literature,2
14,name9 surname9,45,name8.surname8@student.com,Philosophy,1
15,name8 surname8,29,name7.surname7@student.com,Physics,2
16,name7 surname7,39,name2.surname2@student.com,Computer Engineering,1
17,name6 surname6,36,name3.surname3@student.com,Physics,3
18,name8 surname8,37,name6.surname6@student.com,Computer Engineering,3
19,name2 surname2,51,name3.surname3@student.com,Business Administration,3
20,name4 surname4,35,name5.surname5@student.com,International Relations,0
21,name5 surname5,53,name1.surname1@student.com,International Relations,1
22,name2 surname2,22,name0.surname0@student.com,Art History,3
23,name3 surname3,29,name2.surname2@student.com,English Literature,3
24,name7 surname7,30,name7.surname7@student.com,Philosophy,2
25,name9 surname9,57,name8.surname8@student.com,Physics,2
26,name8 surname8,21,name1.surname1@student.com,International Relations,1
27,name4 surname4,29,name5.surname5@student.com,Philosophy,0
28,name7 surname7,40,name8.surname8@student.com,Computer Engineering,1
29,name6 surname6,53,name4.surname4@student.com,Physics,0
30,name2 surname2,55,name3.surname3@student.com,Biology,0
31,name9 surname9,45,name3.surname3@student.com,International Relations,2
32,name9 surname9,48,name1.surname1@student.com,Computer Engineering,0
33,name0 surname0,51,name5.surname5@student.com,Physics,2
34,name5 surname5,47,name8.surname8@student.com,Physics,2
35,name9 surname9,48,name3.surname3@student.com,Physics,3
36,name0 surname0,26,name4.surname4@student.com,Business Administration,2
37,name5 surname5,29,name8.surname8@student.com,English Literature,1
38,name5 surname5,44,name3.surname3@student.com,Physics,3
39,name5 surname5,40,name7.surname7@student.com,Art History,1
40,name2 surname2,44,name2.surname2@student.com,International Relations,0
41,name5 surname5,45,name1.surname1@student.com,Art History,2
42,name3 surname3,54,name7.surname7@student.com,English Literature,2
43,name1 surname1,23,name4.surname4@student.com,Business Administration,2
44,name0 surname0,32,name6.surname6@student.com,Electrical Engineering,0
45,name2 surname2,55,name3.surname3@student.com,English Literature,2
46,name7 surname7,35,name4.surname4@student.com,Chemistry,2
47,name1 surname1,55,name7.surname7@student.com,Chemistry,3
48,name2 surname2,21,name5.surname5@student.com,Philosophy,2
49,name0 surname0,25,name6.surname6@student.com,Physics,1
50,name7 surname7,43,name0.surname0@student.com,Chemistry,0
51,name6 surname6,46,name6.surname6@student.com,Physics,0
52,name2 surname2,46,name7.surname7@student.com,International Relations,0
53,name8 surname8,37,name3.surname3@student.com,Chemistry,2
54,name6 surname6,57,name4.surname4@student.com,Physics,3
55,name7 surname7,39,name6.surname6@student.com,Art History,1
56,name0 surname0,21,name3.surname3@student.com,Biology,0
57,name7 surname7,26,name1.surname1@student.com,Art History,1
58,name8 surname8,52,name7.surname7@student.com,International Relations,3
59,name4 surname4,46,name9.surname9@student.com,Computer Engineering,2
60,name6 surname6,39,name9.surname9@student.com,Electrical Engineering,0
61,name5 surname5,57,name6.surname6@student.com,Biology,2
62,name2 surname2,23,name7.surname7@student.com,Chemistry,0
63,name1 surname1,50,name4.surname4@student.com,International Relations,0
64,name5 surname5,58,name2.surname2@student.com,Art History,2
65,name7 surname7,47,name6.surname6@student.com,Physics,1
66,name6 surname6,47,name0.surname0@student.com,Computer Engineering,2
67,name3 surname3,45,name5.surname5@student.com,Chemistry,3
68,name4 surname4,36,name5.surname5@student.com,Physics,0
69,name2 surname2,24,name5.surname5@student.com,Chemistry,1
70,name4 surname4,58,name0.surname0@student.com,Art History,2
71,name6 surname6,25,name6.surname6@student.com,Biology,0
72,name0 surname0,48,name6.surname6@student.com,Biology,3
73,name9 surname9,44,name7.surname7@student.com,Biology,0
74,name1 surname1,57,name5.surname5@student.com,Art History,2
75,name7 surname7,45,name5.surname5@student.com,English Literature,3
76,name9 surname9,27,name7.surname7@student.com,English Literature,2
77,name4 surname4,57,name6.surname6@student.com,Business Administration,0
78,name4 surname4,39,name1.surname1@student.com,Philosophy,0
79,name7 surname7,24,name9.surname9@student.com,Electrical Engineering,2
80,name6 surname6,31,name1.surname1@student.com,Chemistry,0
81,name5 surname5,29,name2.surname2@student.com,Electrical Engineering,2
82,name2 surname2,36,name3.surname3@student.com,Art History,3
83,name3 surname3,21,name0.surname0@student.com,Art History,0
84,name1 surname1,57,name0.surname0@student.com,Philosophy,0
85,name6 surname6,26,name1.surname1@student.com,Business Administration,1
86,name9 surname9,32,name1.surname1@student.com,English Literature,0
87,name1 surname1,33,name3.surname3@student.com,English Literature,0
88,name3 surname3,56,name5.surname5@student.com,Philosophy,1
89,name5 surname5,56,name7.surname7@student.com,Art History,2
90,name9 surname9,32,name9.surname9@student.com,Philosophy,3
91,name9 surname9,44,name4.surname4@student.com,Business Administration,2
92,name1 surname1,49,name2.surname2@student.com,English Literature,2
93,name6 surname6,39,name6.surname6@student.com,International Relations,3
94,name3 surname3,25,name7.surname7@student.com,Physics,2
95,name2 surname2,58,name8.surname8@student.com,Chemistry,1
96,name1 surname1,48,name7.surname7@student.com,International Relations,1
97,name9 surname9,56,name4.surname4@student.com,Philosophy,0
98,name3 surname3,23,name5.surname5@student.com,International Relations,1
99,name4 surname4,47,name6.surname6@student.com,Physics,0
100,name5 surname5,53,name7.surname7@student.com,Physics,0
101,name4 surname4,51,name8.surname8@student.com,Electrical Engineering,2
102,name3 surname3,33,name8.surname8@student.com,Biology,3
103,name8 surname8,24,name1.surname1@student.com,English Literature,3
104,name1 surname1,37,name4.surname4@student.com,Philosophy,2
105,name5 surname5,22,name6.surname6@student.com,Computer Engineering,0
106,name5 surname5,37,name3.surname3@student.com,Chemistry,1
107,name3 surname3,31,name1.surname1@student.com,English Literature,1
108,name7 surname7,33,name2.surname2@student.com,Business Administration,2
109,name6 surname6,20,name3.surname3@student.com,Business Administration,1
110,name9 surname9,21,name1.surname1@student.com,English Literature,0
111,name9 surname9,28,name2.surname2@student.com,Physics,1
112,name7 surname7,47,name5.surname5@student.com,Computer Engineering,3
113,name9 surname9,33,name8.surname8@student.com,International Relations,0
114,name3 surname3,30,name9.surname9@student.com,Computer Engineering,0
115,name6 surname6,53,name4.surname4@student.com,Biology,2
116,name3 surname3,36,name8.surname8@student.com,English Literature,2
117,name6 surname6,57,name7.surname7@student.com,Business Administration,1
118,name0 surname0,57,name1.surname1@student.com,English Literature,3
119,name1 surname1,34,name5.surname5@student.com,International Relations,1
120,name0 surname0,38,name0.surname0@student.com,Chemistry,2
121,name9 surname9,27,name1.surname1@student.com,Physics,2
122,name8 surname8,36,name5.surname5@student.com,Philosophy,0
123,name0 surname0,29,name9.surname9@student.com,Business Administration,2
124,name3 surname3,57,name1.surname1@student.com,English Literature,2
125,name2 surname2,21,name3.surname3@student.com,International Relations,3
